,Constituency,Ward,Relativity
748,Samburu North,Angata Nanyokie,1.0
749,Samburu North,Baawa,1.0
750,Samburu East,Waso,1.0
751,Samburu East,Wamba West,1.0
752,Samburu East,Wamba East,1.0
753,Samburu East,Wamba North,1.0
754,Kwanza,Kwanza,1.0
755,Kwanza,Keiyo,1.0
756,Kwanza,Bidii,1.0
757,Endebess,Chepchoina,1.0
758,Endebess,Endebess,1.0
759,Endebess,Matumbei,1.0
760,Saboti,Kinyoro,1.0
761,Saboti,Matisi,1.0
762,Saboti,Tuwani,1.0
763,Saboti,Saboti,1.0
764,Saboti,Machewa,1.0
765,Kiminini,Kiminini,1.0
766,Kiminini,Waitaluk,1.0
767,Kiminini,Sirende,1.0
768,Kiminini,Hospital,1.0
769,Kiminini,Sikhendu,1.0
770,Kiminini,Nabiswa,1.0
771,Cherangany,Sinyerere,1.0
772,Cherangany,Makutano,1.0
773,Cherangany,Kaplamai,1.0
774,Cherangany,Motosiet,1.0
775,Cherangany,Cherangany/Suwerwa,1.0
776,Cherangany,Chepsiro/Kiptoror,1.0
777,Cherangany,Sitatunga,1.0
778,Soy,Moi'S Bridge,1.0
779,Soy,Kapkures,1.0
780,Soy,Ziwa,1.0
781,Soy,Segero/Barsombe,1.0
782,Soy,Kipsomba,1.0
783,Soy,Soy,1.0
784,Soy,Kuinet/Kapsuswa,1.0
785,Turbo,Ngenyilel,1.0
786,Turbo,Tapsagoi,1.0
787,Turbo,Kamagut,1.0
788,Turbo,Kiplombe,1.0
789,Turbo,Kapsaos,1.0
790,Turbo,Huruma,1.0
791,Moiben,Tembelio,1.0
792,Moiben,Sergoit,1.0
793,Moiben,Karuna/Meibeki,1.0
794,Moiben,Moiben,1.0
795,Moiben,Kimumu,1.0
796,Ainabkoi,Kapsoya,1.0
797,Ainabkoi,Kaptagat,1.0
798,Ainabkoi,Ainabkoi/Olare,1.0
799,Kapseret,Simat/Kapseret,1.0
800,Kapseret,Kipkenyo,1.0
801,Kapseret,Ngeria,1.0
802,Kapseret,Megun,1.0
803,Kapseret,Langas,1.0
804,Kesses,Racecourse,1.0
805,Kesses,Cheptiret/Kipchamo,1.0
806,Kesses,Tulwet/Chuiyat,1.0
807,Kesses,Tarakwa,1.0
808,Marakwet East,Kapyego,1.0
809,Marakwet East,Sambirir,1.0
810,Marakwet East,Endo,1.0
811,Marakwet West,Sengwer,1.0
812,Marakwet West,Cherang'Any/Chebororwa,1.0
813,Marakwet West,Moiben/Kuserwo,1.0
814,Marakwet West,Kapsowar,1.0
815,Marakwet West,Arror,1.0
816,Keiyo North,Emsoo,1.0
817,Keiyo North,Kamariny,1.0
818,Keiyo North,Kapchemutwa,1.0
819,Keiyo North,Tambach,1.0
820,Keiyo South,Kaptarakwa,1.0
821,Keiyo South,Chepkorio,1.0
822,Keiyo South,Soy North,1.0
823,Keiyo South,Soy South,1.0
824,Keiyo South,Kabiemit,1.0
825,Keiyo South,Metkei,1.0
826,Tinderet,Songhor/Soba,1.0
827,Tinderet,Tindiret,1.0
828,Tinderet,Chemelil/Chemase,1.0
829,Tinderet,Kapsimotwo,1.0
830,Aldai,Kabwareng,1.0
831,Aldai,Terik,1.0
832,Aldai,Kemeloi-Maraba,1.0
833,Aldai,Kobujoi,1.0
834,Aldai,Kaptumo-Kaboi,1.0
835,Aldai,Koyo-Ndurio,1.0
836,Nandi Hills,Nandi Hills,1.0
837,Nandi Hills,Chepkunyuk,1.0
838,Nandi Hills,Ol'Lessos,1.0
839,Nandi Hills,Kapchorua,1.0
840,Chesumei,Chemundu/Kapng'Etuny,1.0
841,Chesumei,Kosirai,1.0
842,Chesumei,Lelmokwo/Ngechek,1.0
843,Chesumei,Kaptel/Kamoiywo,1.0
844,Chesumei,Kiptuya,1.0
845,Emgwen,Chepkumia,1.0
846,Emgwen,Kapkangani,1.0
847,Emgwen,Kapsabet,1.0
848,Emgwen,Kilibwoni,1.0
849,Mosop,Chepterwai,1.0
850,Mosop,Kipkaren,1.0
851,Mosop,Kurgung/Surungai,1.0
852,Mosop,Kabiyet,1.0
853,Mosop,Ndalat,1.0
854,Mosop,Kabisaga,1.0
855,Mosop,Sangalo/Kebulonik,1.0
856,Tiaty,Tirioko,1.0
857,Tiaty,Kolowa,1.0
858,Tiaty,Ribkwo,1.0
859,Tiaty,Silale,1.0
860,Tiaty,Loiyamorock,1.0
861,Tiaty,Tangulbei/Korossi,1.0
862,Tiaty,Churo/Amaya,1.0
863,Baringo North,Barwessa,1.0
864,Baringo North,Kabartonjo,1.0
865,Baringo North,Saimo/Kipsaraman,1.0
866,Baringo North,Saimo/Soi,1.0
867,Baringo North,Bartabwa,1.0
868,Baringo Central,Kabarnet,1.0
869,Baringo Central,Sacho,1.0
870,Baringo Central,Tenges,1.0
871,Baringo Central,Ewalel Chapchap,1.0
872,Baringo Central,Kapropita,1.0
873,Baringo South,Marigat,1.0
874,Baringo South,Ilchamus,1.0
875,Baringo South,Mochongoi,1.0
876,Baringo South,Mukutani,1.0
877,Mogotio,Mogotio,1.0
878,Mogotio,Emining,1.0
879,Mogotio,Kisanana,1.0
880,Eldama Ravine,Lembus,1.0
881,Eldama Ravine,Lembus Kwen,1.0
882,Eldama Ravine,Ravine,1.0
883,Eldama Ravine,Mumberes/Maji Mazuri,1.0
884,Eldama Ravine,Lembus/Perkerra,1.0
885,Eldama Ravine,Koibatek,1.0
886,Laikipia West,Ol-Moran,1.0
887,Laikipia West,Rumuruti Township,1.0
888,Laikipia West,Githiga,1.0
889,Laikipia West,Marmanet,1.0
890,Laikipia West,Igwamiti,1.0
891,Laikipia West,Salama,1.0
892,Laikipia East,Ngobit,1.0
893,Laikipia East,Tigithi,1.0
894,Laikipia East,Thingithu,1.0
895,Laikipia East,Nanyuki,1.0
896,Laikipia North,Umande,1.0
897,Laikipia North,Sosian,1.0
898,Laikipia North,Segera,1.0
899,Laikipia North,Mukogondo West,1.0
900,Laikipia North,Mukogondo East,1.0
901,Molo,Mariashoni,1.0
902,Molo,Elburgon,1.0
903,Molo,Turi,1.0
904,Molo,Molo,1.0
905,Njoro,Mau Narok,1.0
906,Njoro,Mauche,1.0
907,Njoro,Kihingo,1.0
908,Njoro,Nessuit,1.0
909,Njoro,Lare,1.0
910,Njoro,Njoro,1.0
911,Naivasha,Biashara,1.0
912,Naivasha,Hells Gate,1.0
913,Naivasha,Lake View,1.0
914,Naivasha,Mai Mahiu,1.0
915,Naivasha,Maiella,1.0
916,Naivasha,Olkaria,1.0
917,Naivasha,Naivasha East,1.0
918,Naivasha,Viwandani,1.0
919,Gilgil,Gilgil,1.0
920,Gilgil,Elementaita,1.0
921,Gilgil,Mbaruk/Eburu,1.0
922,Gilgil,Malewa West,1.0
923,Gilgil,Murindati,1.0
924,Kuresoi South,Amalo,1.0
925,Kuresoi South,Keringet,1.0
926,Kuresoi South,Kiptagich,1.0
927,Kuresoi South,Tinet,1.0
928,Kuresoi North,Kiptororo,1.0
929,Kuresoi North,Nyota,1.0
930,Kuresoi North,Sirikwa,1.0
931,Kuresoi North,Kamara,1.0
932,Subukia,Subukia,1.0
933,Subukia,Waseges,1.0
934,Subukia,Kabazi,1.0
935,Rongai,Menengai West,1.0
936,Rongai,Soin,1.0
937,Rongai,Visoi,1.0
938,Rongai,Mosop,1.0
939,Rongai,Solai,1.0
940,Bahati,Dundori,1.0
941,Bahati,Kabatini,1.0
942,Bahati,Kiamaina,1.0
943,Bahati,Lanet/Umoja,1.0
944,Bahati,Bahati,1.0
945,Nakuru Town West,Barut,1.0
946,Nakuru Town West,Kaptembwo,1.0
947,Nakuru Town West,Kapkures,1.0
948,Nakuru Town West,Rhoda,1.0
949,Nakuru Town West,Shaabab,1.0
950,Nakuru Town East,London,1.0
951,Nakuru Town East,Biashara,1.0
952,Nakuru Town East,Kivumbini,1.0
953,Nakuru Town East,Flamingo,1.0
954,Nakuru Town East,Menengai,1.0
955,Nakuru Town East,Nakuru East,1.0
956,Kilgoris,Kilgoris Central,1.0
957,Kilgoris,Keyian,1.0
958,Kilgoris,Angata Barikoi,1.0
959,Kilgoris,Shankoe,1.0
960,Kilgoris,Kimintet,1.0
961,Kilgoris,Lolgorian,1.0
962,Emurua Dikirr,Ilkerin,1.0
963,Emurua Dikirr,Ololmasani,1.0
964,Emurua Dikirr,Mogondo,1.0
965,Emurua Dikirr,Kapsasian,1.0
966,Narok North,Olpusimoru,1.0
967,Narok North,Olokurto,1.0
968,Narok North,Narok Town,1.0
969,Narok North,Nkareta,1.0
970,Narok North,Olorropil,1.0
971,Narok North,Melili,1.0
972,Narok East,Mosiro,1.0
973,Narok East,Keekonyokie,1.0
974,Narok East,Suswa,1.0
975,Narok South,Ildamat,1.0
976,Narok South,Majimoto/Naroosura,1.0
977,Narok South,Ololulung'A,1.0
978,Narok South,Melelo,1.0
979,Narok South,Loita,1.0
980,Narok South,Sogoo,1.0
981,Narok South,Sagamian,1.0
982,Narok West,Ilmotiok,1.0
983,Narok West,Mara,1.0
984,Narok West,Siana,1.0
985,Narok West,Naikarra,1.0
986,Kajiado North,Olkeri,1.0
987,Kajiado North,Ongata Rongai,1.0
988,Kajiado North,Nkaimurunya,1.0
989,Kajiado North,Oloolua,1.0
990,Kajiado North,Ngong,1.0
991,Kajiado Central,Purko,1.0
992,Kajiado Central,Ildamat,1.0
993,Kajiado Central,Dalalekutuk,1.0
994,Kajiado Central,Matapato North,1.0
995,Kajiado Central,Matapato South,1.0
996,Kajiado East,Kaputiei North,1.0
997,Kajiado East,Kitengela,1.0
998,Kajiado East,Oloosirkon/Sholinke,1.0
999,Kajiado East,Kenyawa-Poka,1.0
1000,Kajiado East,Imaroro,1.0
1001,Kajiado West,Keekonyokie,1.0
1002,Kajiado West,Iloodokilani,1.0
1003,Kajiado West,Magadi,1.0
1004,Kajiado West,Ewuaso Oonkidong'I,1.0
1005,Kajiado West,Mosiro,1.0
1006,Kajiado South,Entonet/Lenkisim,1.0
1007,Kajiado South,Mbirikani/Eselenkei,1.0
1008,Kajiado South,Kuku,1.0
1009,Kajiado South,Rombo,1.0
1010,Kajiado South,Kimana,1.0
1011,Kipkelion East,Londiani,1.0
1012,Kipkelion East,Kedowa/Kimugul,1.0
1013,Kipkelion East,Chepseon,1.0
1014,Kipkelion East,Tendeno/Sorget,1.0
1015,Kipkelion West,Kunyak,1.0
1016,Kipkelion West,Kamasian,1.0
1017,Kipkelion West,Kipkelion,1.0
1018,Kipkelion West,Chilchila,1.0
1019,Ainamoi,Kapsoit,1.0
1020,Ainamoi,Ainamoi,1.0
1021,Ainamoi,Kapkugerwet,1.0
1022,Ainamoi,Kipchebor,1.0
1023,Ainamoi,Kipchimchim,1.0
1024,Ainamoi,Kapsaos,1.0
1025,Bureti,Kisiara,1.0
1026,Bureti,Tebesonik,1.0
1027,Bureti,Cheboin,1.0
1028,Bureti,Chemosot,1.0
1029,Bureti,Litein,1.0
1030,Bureti,Cheplanget,1.0
1031,Bureti,Kapkatet,1.0
1032,Belgut,Waldai,1.0
1033,Belgut,Kabianga,1.0
1034,Belgut,Cheptororiet/Seretut,1.0
1035,Belgut,Chaik,1.0
1036,Belgut,Kapsuser,1.0
1037,Sigowet/Soin,Sigowet,1.0
1038,Sigowet/Soin,Kaplelartet,1.0
1039,Sigowet/Soin,Soliat,1.0
1040,Sigowet/Soin,Soin,1.0
1041,Sotik,Ndanai/Abosi,1.0
1042,Sotik,Chemagel,1.0
1043,Sotik,Kipsonoi,1.0
1044,Sotik,Kapletundo,1.0
1045,Sotik,Rongena/Manaret,1.0
1046,Chepalungu,Kong'Asis,1.0
1047,Chepalungu,Nyangores,1.0
1048,Chepalungu,Sigor,1.0
1049,Chepalungu,Chebunyo,1.0
1050,Chepalungu,Siongiroi,1.0
1051,Bomet East,Merigi,1.0
1052,Bomet East,Kembu,1.0
1053,Bomet East,Longisa,1.0
1054,Bomet East,Kipreres,1.0
1055,Bomet East,Chemaner,1.0
1056,Bomet Central,Silibwet Township,1.0
1057,Bomet Central,Ndaraweta,1.0
1058,Bomet Central,Singorwet,1.0
1059,Bomet Central,Chesoen,1.0
1060,Bomet Central,Mutarakwa,1.0
1061,Konoin,Chepchabas,1.0
1062,Konoin,Kimulot,1.0
1063,Konoin,Mogogosiek,1.0
1064,Konoin,Boito,1.0
1065,Konoin,Embomos,1.0
1066,Lugari,Mautuma,1.0
1067,Lugari,Lugari,1.0
1068,Lugari,Lumakanda,1.0
1069,Lugari,Chekalini,1.0
1070,Lugari,Chevaywa,1.0
1071,Lugari,Lwandeti,1.0
1072,Likuyani,Likuyani,1.0
1073,Likuyani,Sango,1.0
1074,Likuyani,Kongoni,1.0
1075,Likuyani,Nzoia,1.0
1076,Likuyani,Sinoko,1.0
1077,Malava,West Kabras,1.0
1078,Malava,Chemuche,1.0
1079,Malava,East Kabras,1.0
1080,Malava,Butali/Chegulo,1.0
1081,Malava,Manda-Shivanga,1.0
1082,Malava,Shirugu-Mugai,1.0
1083,Malava,South Kabras,1.0
1084,Lurambi,Butsotso East,1.0
1085,Lurambi,Butsotso South,1.0
1086,Lurambi,Butsotso Central,1.0
1087,Lurambi,Sheywe,1.0
1088,Lurambi,Mahiakalo,1.0
1089,Lurambi,Shirere,1.0
1090,Navakholo,Ingostse-Mathia,1.0
1091,Navakholo,Shinoyi-Shikomari-Esumeyia,1.0
1092,Navakholo,Bunyala West,1.0
1093,Navakholo,Bunyala East,1.0
1094,Navakholo,Bunyala Central,1.0
1095,Mumias West,Mumias Central,1.0
1096,Mumias West,Mumias North,1.0
1097,Mumias West,Etenje,1.0
1098,Mumias West,Musanda,1.0
1099,Mumias East,Lusheya/Lubinu,1.0
1100,Mumias East,Malaha/Isongo/Makunga,1.0
1101,Mumias East,East Wanga,1.0
1102,Matungu,Koyonzo,1.0
1103,Matungu,Kholera,1.0
1104,Matungu,Khalaba,1.0
1105,Matungu,Mayoni,1.0
1106,Matungu,Namamali,1.0
1107,Butere,Marama West,1.0
1108,Butere,Marama Central,1.0
1109,Butere,Marenyo - Shianda,1.0
1110,Butere,Marama North,1.0
1111,Butere,Marama South,1.0
1112,Khwisero,Kisa North,1.0
1113,Khwisero,Kisa East,1.0
1114,Khwisero,Kisa West,1.0
1115,Khwisero,Kisa Central,1.0
1116,Shinyalu,Isukha North,1.0
1117,Shinyalu,Murhanda,1.0
1118,Shinyalu,Isukha Central,1.0
1119,Shinyalu,Isukha South,1.0
1120,Shinyalu,Isukha East,1.0
1121,Shinyalu,Isukha West,1.0
1122,Ikolomani,Idakho South,1.0
1123,Ikolomani,Idakho East,1.0
1124,Ikolomani,Idakho North,1.0
1125,Ikolomani,Idakho Central,1.0
1126,Vihiga,Lugaga-Wamuluma,1.0
1127,Vihiga,South Maragoli,1.0
1128,Vihiga,Central Maragoli,1.0
1129,Vihiga,Mungoma,1.0
1130,Sabatia,Lyaduywa/Izava,1.0
1131,Sabatia,West Sabatia,1.0
1132,Sabatia,Chavakali,1.0
1133,Sabatia,North Maragoli,1.0
1134,Sabatia,Wodanga,1.0
1135,Sabatia,Busali,1.0
1136,Hamisi,Shiru,1.0
1137,Hamisi,Gisambai,1.0
1138,Hamisi,Shamakhokho,1.0
1139,Hamisi,Banja,1.0
1140,Hamisi,Muhudu,1.0
1141,Hamisi,Tambua,1.0
1142,Hamisi,Jepkoyai,1.0
1143,Luanda,Luanda Township,1.0
1144,Luanda,Wemilabi,1.0
1145,Luanda,Mwibona,1.0
1146,Luanda,Luanda South,1.0
1147,Luanda,Emabungo,1.0
1148,Emuhaya,North East Bunyore,1.0
1149,Emuhaya,Central Bunyore,1.0
1150,Emuhaya,West Bunyore,1.0
1151,Mt. Elgon,Cheptais,1.0
1152,Mt. Elgon,Chesikaki,1.0
1153,Mt. Elgon,Chepyuk,1.0
1154,Mt. Elgon,Kapkateny,1.0
1155,Mt. Elgon,Kaptama,1.0
1156,Mt. Elgon,Elgon,1.0
1157,Sirisia,Namwela,1.0
1158,Sirisia,Malakisi/South Kulisiru,1.0
1159,Sirisia,`,1.0
1160,Kabuchai,Kabuchai/Chwele,1.0
1161,Kabuchai,West Nalondo,1.0
1162,Kabuchai,Bwake/Luuya,1.0
1163,Kabuchai,Mukuyuni,1.0
1164,Bumula,South Bukusu,1.0
1165,Bumula,Bumula,1.0
1166,Bumula,Khasoko,1.0
1167,Bumula,Kabula,1.0
1168,Bumula,Kimaeti,1.0
1169,Bumula,West Bukusu,1.0
1170,Bumula,Siboti,1.0
1171,Kanduyi,Bukembe West,1.0
1172,Kanduyi,Bukembe East,1.0
1173,Kanduyi,Township,1.0
1174,Kanduyi,Khalaba,1.0
1175,Kanduyi,Musikoma,1.0
1176,Kanduyi,East Sang'Alo,1.0
1177,Kanduyi,Marakaru/Tuuti,1.0
1178,Kanduyi,West Sang'Alo,1.0
1179,Webuye East,Mihuu,1.0
1180,Webuye East,Ndivisi,1.0
1181,Webuye East,Maraka,1.0
1182,Webute West,Misikhu,1.0
1183,Webute West,Sitikho,1.0
1184,Webute West,Matulo,1.0
1185,Webute West,Bokoli,1.0
1186,Kimilili,Kibingei,1.0
1187,Kimilili,Kimilili,1.0
1188,Kimilili,Maeni,1.0
1189,Kimilili,Kamukuywa,1.0
1190,Tongaren,Mbakalo,1.0
1191,Tongaren,Naitiri/Kabuyefwe,1.0
1192,Tongaren,Milima,1.0
1193,Tongaren,Ndalu/ Tabani,1.0
1194,Tongaren,Tongaren,1.0
1195,Tongaren,Soysambu/ Mitua,1.0
1196,Teso North,Malaba Central,1.0
1197,Teso North,Malaba North,1.0
1198,Teso North,Ang'Urai South,1.0
1199,Teso North,Ang'Urai North,1.0
1200,Teso North,Ang'Urai East,1.0
1201,Teso North,Malaba South,1.0
1202,Teso South,Ang'Orom,1.0
1203,Teso South,Chakol South,1.0
1204,Teso South,Chakol North,1.0
1205,Teso South,Amukura West,1.0
1206,Teso South,Amukura East,1.0
1207,Teso South,Amukura Central,1.0
1208,Nambale,Nambale Township,1.0
1209,Nambale,Bukhayo North/Walatsi,1.0
1210,Nambale,Bukhayo East,1.0
1211,Nambale,Bukhayo Central,1.0
1212,Matayos,Bukhayo West,1.0
1213,Matayos,Mayenje,1.0
1214,Matayos,Matayos South,1.0
1215,Matayos,Busibwabo,1.0
1216,Matayos,Burumba,1.0
1217,Butula,Marachi West,1.0
1218,Butula,Kingandole,1.0
1219,Butula,Marachi Central,1.0
1220,Butula,Marachi East,1.0
1221,Butula,Marachi North,1.0
1222,Butula,Elugulu,1.0
1223,Funyula,Namboboto Nambuku,1.0
1224,Funyula,Nangina,1.0
1225,Funyula,Ageng'A Nanguba,1.0
1226,Funyula,Bwiri,1.0
1227,Budalangi,Bunyala Central,1.0
1228,Budalangi,Bunyala North,1.0
1229,Budalangi,Bunyala West,1.0
1230,Budalangi,Bunyala South,1.0
1231,Ugenya,West Ugenya,1.0
1232,Ugenya,Ukwala,1.0
1233,Ugenya,North Ugenya,1.0
1234,Ugenya,East Ugenya,1.0
1235,Ugunja,Sidindi,1.0
1236,Ugunja,Sigomere,1.0
1237,Ugunja,Ugunja,1.0
1238,Alego Usonga,Usonga,1.0
1239,Alego Usonga,West Alego,1.0
1240,Alego Usonga,Central Alego,1.0
1241,Alego Usonga,Siaya Township,1.0
1242,Alego Usonga,North Alego,1.0
1243,Alego Usonga,South East Alego,1.0
1244,Gem,North Gem,1.0
1245,Gem,West Gem,1.0
1246,Gem,Central Gem,1.0
1247,Gem,Yala Township,1.0
1248,Gem,East Gem,1.0
1249,Gem,South Gem,1.0
1250,Bondo,Yimbo West,1.0
1251,Bondo,Central Sakwa,1.0
1252,Bondo,South Sakwa,1.0
1253,Bondo,Yimbo East,1.0
1254,Bondo,West Sakwa,1.0
1255,Bondo,North Sakwa,1.0
1256,Rarieda,East Asembo,1.0
1257,Rarieda,West Asembo,1.0
1258,Rarieda,North Uyoma,1.0
1259,Rarieda,South Uyoma,1.0
1260,Rarieda,West Uyoma,1.0
1261,Kisumu East,Kajulu,1.0
1262,Kisumu East,Kolwa East,1.0
1263,Kisumu East,Manyatta 'B',1.0
1264,Kisumu East,Kolwa Central,1.0
1265,Kisumu West,South West Kisumu,1.0
1266,Kisumu West,Central Kisumu,1.0
1267,Kisumu West,Kisumu North,1.0
1268,Kisumu West,West Kisumu,1.0
1269,Kisumu West,North West Kisumu,1.0
1270,Kisumu Central,Nyalenda 'A',1.0
1271,Kisumu Central,Railways,1.0
1272,Kisumu Central,Migosi,1.0
1273,Kisumu Central,Shaurimoyo Kaloleni,1.0
1274,Kisumu Central,Market Milimani,1.0
1275,Kisumu Central,Kondele,1.0
1276,Kisumu Central,Nyalenda B,1.0
1277,Seme,West Seme,1.0
1278,Seme,Central Seme,1.0
1279,Seme,East Seme,1.0
1280,Seme,North Seme,1.0
1281,Nyando,East Kano/Wawidhi,1.0
1282,Nyando,Awasi/Onjiko,1.0
1283,Nyando,Ahero,1.0
1284,Nyando,Kabonyo/Kanyagwal,1.0
1285,Nyando,Kobura,1.0
1286,Muhoroni,Miwani,1.0
1287,Muhoroni,Ombeyi,1.0
1288,Muhoroni,Masogo/Nyang'Oma,1.0
1289,Muhoroni,Chemelil,1.0
1290,Muhoroni,Muhoroni/Koru,1.0
1291,Nyakach,South West Nyakach,1.0
1292,Nyakach,North Nyakach,1.0
1293,Nyakach,Central Nyakach,1.0
1294,Nyakach,West Nyakach,1.0
1295,Nyakach,South East Nyakach,1.0
1296,Kasipul,West Kasipul,1.0
1297,Kasipul,South Kasipul,1.0
1298,Kasipul,Central Kasipul,1.0
1299,Kasipul,East Kamagak,1.0
1300,Kasipul,West Kamagak,1.0
1301,Kabondo Kasipul,Kabondo East,1.0
1302,Kabondo Kasipul,Kabondo West,1.0
1303,Kabondo Kasipul,Kokwanyo/Kakelo,1.0
1304,Kabondo Kasipul,Kojwach,1.0
1305,Karachuonyo,West Karachuonyo,1.0
1306,Karachuonyo,North Karachuonyo,1.0
1307,Karachuonyo,Central,1.0
1308,Karachuonyo,Kanyaluo,1.0
1309,Karachuonyo,Kibiri,1.0
1310,Karachuonyo,Wangchieng,1.0
1311,Karachuonyo,Kendu Bay Town,1.0
1312,Rangwe,West Gem,1.0
1313,Rangwe,East Gem,1.0
1314,Rangwe,Kagan,1.0
1315,Rangwe,Kochia,1.0
1316,Homa Bay Town,Homa Bay Central,1.0
1317,Homa Bay Town,Homa Bay Arujo,1.0
1318,Homa Bay Town,Homa Bay West,1.0
1319,Homa Bay Town,Homa Bay East,1.0
1320,Ndhiwa,Kwabwai,1.0
1321,Ndhiwa,Kanyadoto,1.0
1322,Ndhiwa,Kanyikela,1.0
1323,Ndhiwa,Kabuoch North,1.0
1324,Ndhiwa,Kabuoch South/Pala,1.0
1325,Ndhiwa,Kanyamwa Kologi,1.0
1326,Ndhiwa,Kanyamwa Kosewe,1.0
1327,Mbita,Mfangano Island,1.0
1328,Mbita,Rusinga Island,1.0
1329,Mbita,Kasgunga,1.0
1330,Mbita,Gembe,1.0
1331,Mbita,Lambwe,1.0
1332,Suba,Gwassi South,1.0
1333,Suba,Gwassi North,1.0
1334,Suba,Kaksingri West,1.0
1335,Suba,Ruma-Kaksingiri East,1.0
1336,Rongo,North Kamagambo,1.0
1337,Rongo,Central Kamagambo,1.0
1338,Rongo,East Kamagambo,1.0
1339,Rongo,South Kamagambo,1.0
1340,Awendo,North Sakwa,1.0
1341,Awendo,South Sakwa,1.0
1342,Awendo,West Sakwa,1.0
1343,Awendo,Central Sakwa,1.0
1344,Suna East,God Jope,1.0
1345,Suna East,Suna Central,1.0
1346,Suna East,Kakrao,1.0
1347,Suna East,Kwa,1.0
1348,Suna West,Wiga,1.0
1349,Suna West,Wasweta Ii,1.0
1350,Suna West,Ragana-Oruba,1.0
1351,Suna West,Wasimbete,1.0
1352,Uriri,West Kanyamkago,1.0
1353,Uriri,North Kanyamkago,1.0
1354,Uriri,Central Kanyamkago,1.0
1355,Uriri,South Kanyamkago,1.0
1356,Uriri,East Kanyamkago,1.0
1357,Nyatike,Kachien'G,1.0
1358,Nyatike,Kachien'G,1.0
1359,Nyatike,North Kadem,1.0
1360,Nyatike,Macalder/Kanyarwanda,1.0
1361,Nyatike,Kaler,1.0
1362,Nyatike,Got Kachola,1.0
1363,Nyatike,Muhuru,1.0
1364,Kuria West,Bukira East,1.0
1365,Kuria West,Bukira Centrl/Ikerege,1.0
1366,Kuria West,Isibania,1.0
1367,Kuria West,Makerero,1.0
1368,Kuria West,Masaba,1.0
1369,Kuria West,Tagare,1.0
1370,Kuria West,Nyamosense/Komosoko,1.0
1371,Kuria East,Gokeharaka/Getambwega,1.0
1372,Kuria East,Ntimaru West,1.0
1373,Kuria East,Ntimaru East,1.0
1374,Kuria East,Nyabasi East,1.0
1375,Kuria East,Nyabasi West,1.0
1376,Bonchari,Bomariba,1.0
1377,Bonchari,Bogiakumu,1.0
1378,Bonchari,Bomorenda,1.0
1379,Bonchari,Riana,1.0
1380,South Mugirango,Tabaka,1.0
1381,South Mugirango,Boikang'A,1.0
1382,South Mugirango,Bogetenga,1.0
1383,South Mugirango,Borabu / Chitago,1.0
1384,South Mugirango,Moticho,1.0
1385,South Mugirango,Getenga,1.0
1386,Bomachoge Borabu,Bombaba Borabu,1.0
1387,Bomachoge Borabu,Boochi Borabu,1.0
1388,Bomachoge Borabu,Bokimonge,1.0
1389,Bomachoge Borabu,Magenche,1.0
1390,Bobasi,Masige West,1.0
1391,Bobasi,Masige East,1.0
1392,Bobasi,Basi Central,1.0
1393,Bobasi,Nyacheki,1.0
1394,Bobasi,Basi Bogetaorio,1.0
1395,Bobasi,Bobasi Chache,1.0
1396,Bobasi,Sameta/Mokwerero,1.0
1397,Bobasi,Bobasi Boitangare,1.0
1398,Bomachoge Chache,Majoge Basi,1.0
1399,Bomachoge Chache,Boochi/Tendere,1.0
1400,Bomachoge Chache,Bosoti/Sengera,1.0
1401,Nyaribari Masaba,Ichuni,1.0
1402,Nyaribari Masaba,Nyamasibi,1.0
1403,Nyaribari Masaba,Masimba,1.0
1404,Nyaribari Masaba,Gesusu,1.0
1405,Nyaribari Masaba,Kiamokama,1.0
1406,Nyaribari Chache,Bobaracho,1.0
1407,Nyaribari Chache,Kisii Central,1.0
1408,Nyaribari Chache,Keumbu,1.0
1409,Nyaribari Chache,Kiogoro,1.0
1410,Nyaribari Chache,Birongo,1.0
1411,Nyaribari Chache,Ibeno,1.0
1412,Kitutu Chache North,Monyerero,1.0
1413,Kitutu Chache North,Sensi,1.0
1414,Kitutu Chache North,Marani,1.0
1415,Kitutu Chache North,Kegogi,1.0
1416,Kitutu Chache South,Bogusero,1.0
1417,Kitutu Chache South,Bogeka,1.0
1418,Kitutu Chache South,Nyakoe,1.0
1419,Kitutu Chache South,Kitutu   Central,1.0
1420,Kitutu Chache South,Nyatieko,1.0
1421,Kitutu Masaba,Rigoma,1.0
1422,Kitutu Masaba,Gachuba,1.0
1423,Kitutu Masaba,Kemera,1.0
1424,Kitutu Masaba,Magombo,1.0
1425,Kitutu Masaba,Manga,1.0
1426,Kitutu Masaba,Gesima,1.0
1427,West Mugirango,Nyamaiya,1.0
1428,West Mugirango,Bogichora,1.0
1429,West Mugirango,Bosamaro,1.0
1430,West Mugirango,Bonyamatuta,1.0
1431,West Mugirango,Township,1.0
1432,North Mugirango,Itibo,1.0
1433,North Mugirango,Bomwagamo,1.0
1434,North Mugirango,Bokeira,1.0
1435,North Mugirango,Magwagwa,1.0
1436,North Mugirango,Ekerenyo,1.0
1437,Borabu,Mekenene,1.0
1438,Borabu,Kiabonyoru,1.0
1439,Borabu,Nyansiongo,1.0
1440,Borabu,Esise,1.0
