,Constituency,Ward,Relativity
170,Garsen,Kipini East,1.0
171,Garsen,Garsen South,1.0
172,Garsen,Kipini West,1.0
173,Garsen,Garsen Central,1.0
174,Garsen,Garsen West,1.0
175,Garsen,Garsen North,1.0
176,Galole,Kinakomba,1.0
177,Galole,Mikinduni,1.0
178,Galole,Chewani,1.0
179,Galole,Wayu,1.0
180,Bura,Chewele,1.0
181,Bura,Bura,1.0
182,Bura,Bangale,1.0
183,Bura,Sala,1.0
184,Bura,Madogo,1.0
185,Lamu East,Faza,1.0
186,Lamu East,Kiunga,1.0
187,Lamu East,Basuba,1.0
188,Lamu West,Shella,1.0
189,Lamu West,Mkomani,1.0
190,Lamu West,Hindi,1.0
191,Lamu West,Mkunumbi,1.0
192,Lamu West,Hongwe,1.0
193,Lamu West,Witu,1.0
194,Lamu West,Bahari,1.0
195,Taveta,Chala,1.0
196,Taveta,Mahoo,1.0
197,Taveta,Bomani,1.0
198,Taveta,Mboghoni,1.0
199,Taveta,Mata,1.0
200,Wundanyi,Wundanyi/Mbale,1.0
201,Wundanyi,Werugha,1.0
202,Wundanyi,Wumingu/Kishushe,1.0
203,Wundanyi,Mwanda/Mgange,1.0
204,Mwatate,Rong'E,1.0
205,Mwatate,Mwatate,1.0
206,Mwatate,Bura(Mwatate),1.0
207,Mwatate,Chawia,1.0
208,Mwatate,Wusi/Kishamba,1.0
209,Voi,Mbololo,1.0
210,Voi,Sagala,1.0
211,Voi,Kaloleni,1.0
212,Voi,Marungu,1.0
213,Voi,Kasigau,1.0
214,Voi,Ngolia,1.0
215,Garissa Township,Waberi,1.0
216,Garissa Township,Galbet,1.0
217,Garissa Township,Township,1.0
218,Garissa Township,Iftin,1.0
219,Balambala,Balambala,1.0
220,Balambala,Danyere,1.0
221,Balambala,Jara Jara,1.0
222,Balambala,Saka,1.0
223,Balambala,Sankuri,1.0
224,Lagdera,Modogashe,1.0
225,Lagdera,Benane,1.0
226,Lagdera,Goreale,1.0
227,Lagdera,Maalimin,1.0
228,Lagdera,Sabena,1.0
229,Lagdera,Baraki,1.0
230,Daadab,Dertu,1.0
231,Daadab,Dadaab,1.0
232,Daadab,Labasigale,1.0
233,Daadab,Damajale,1.0
234,Daadab,Liboi,1.0
235,Daadab,Abakaile,1.0
236,Fafi,Bura,1.0
237,Fafi,Dekaharia,1.0
238,Fafi,Jarajila,1.0
239,Fafi,Fafi,1.0
240,Fafi,Nanighi,1.0
241,Ijara,Hulugho,1.0
242,Ijara,Sangailu,1.0
243,Ijara,Ijara,1.0
244,Ijara,Masalani,1.0
245,Wajir North,Gurar,1.0
246,Wajir North,Bute,1.0
247,Wajir North,Korondile,1.0
248,Wajir North,Malkagufu,1.0
249,Wajir North,Batalu,1.0
250,Wajir North,Danaba,1.0
251,Wajir North,Godoma,1.0
252,Wajir East,Wagberi,1.0
253,Wajir East,Township,1.0
254,Wajir East,Barwago,1.0
255,Wajir East,Khorof/Harar,1.0
256,Tarbaj,Elben,1.0
257,Tarbaj,Sarman,1.0
258,Tarbaj,Tarbaj,1.0
259,Tarbaj,Wargadud,1.0
260,Wajir West,Arbajahan,1.0
261,Wajir West,Hadado/Athibohol,1.0
262,Wajir West,Ademasajide,1.0
263,Wajir West,Ganyure/Wagalla,1.0
264,Eldas,Eldas,1.0
265,Eldas,Della,1.0
266,Eldas,Lakoley South/Basir,1.0
267,Eldas,Elnur/Tula Tula,1.0
268,Wajir South,Benane,1.0
269,Wajir South,Burder,1.0
270,Wajir South,Dadaja Bulla,1.0
271,Wajir South,Habasswein,1.0
272,Wajir South,Lagboghol South,1.0
273,Wajir South,Ibrahim Ure,1.0
274,Wajir South,Diif,1.0
275,Mandera West,Takaba South,1.0
276,Mandera West,Takaba,1.0
277,Mandera West,Lagsure,1.0
278,Mandera West,Dandu,1.0
279,Mandera West,Gither,1.0
280,Banissa,Banissa,1.0
281,Banissa,Derkhale,1.0
282,Banissa,Guba,1.0
283,Banissa,Malkamari,1.0
284,Banissa,Kiliwehiri,1.0
285,Mandera North,Ashabito,1.0
286,Mandera North,Guticha,1.0
287,Mandera North,Morothile,1.0
288,Mandera North,Rhamu,1.0
289,Mandera North,Rhamu Dimtu,1.0
290,Mandera South,Wargudud,1.0
291,Mandera South,Kutulo,1.0
292,Mandera South,Elwak South,1.0
293,Mandera South,Elwak North,1.0
294,Mandera South,Shimbir Fatuma,1.0
295,Mandera East,Arabia,1.0
296,Mandera East,Bulla Mpya,1.0
297,Mandera East,Khalalio,1.0
298,Mandera East,Neboi,1.0
299,Mandera East,Township,1.0
300,Mandera East,Fino,1.0
301,Lafey,Libehia,1.0
302,Lafey,Lafey,1.0
303,Lafey,Warankara,1.0
304,Lafey,Alango Gof,1.0
305,Moyale,Butiye,1.0
306,Moyale,Sololo,1.0
307,Moyale,Heilu/Manyatta,1.0
308,Moyale,Golbo,1.0
309,Moyale,Moyale Township,1.0
310,Moyale,Uran,1.0
311,Moyale,Obbu,1.0
312,North Horr,Dukana,1.0
313,North Horr,Maikona,1.0
314,North Horr,Turbi,1.0
315,North Horr,North Horr,1.0
316,North Horr,Illeret,1.0
317,Saku,Sagante/Jaldesa,1.0
318,Saku,Karare,1.0
319,Saku,Marsabit Central,1.0
320,Laisamis,Loiyangalani,1.0
321,Laisamis,Kargi/South Horr,1.0
322,Laisamis,Korr/Ngurunit,1.0
323,Laisamis,Logologo,1.0
324,Laisamis,Laisamis,1.0
325,Isiolo North,Wabera,1.0
326,Isiolo North,Bulla Pesa,1.0
327,Isiolo North,Chari,1.0
328,Isiolo North,Cherab,1.0
329,Isiolo North,673,1.0
330,Isiolo North,Burat,1.0
331,Isiolo North,Oldonyiro,1.0
332,Isiolo South,Garba Tulla,1.0
333,Isiolo South,Kinna,1.0
334,Isiolo South,Sericho,1.0
335,Igembe South,Maua,1.0
336,Igembe South,Kiegoi/Antubochiu,1.0
337,Igembe South,Athiru Gaiti,1.0
338,Igembe South,Akachiu,1.0
339,Igembe South,Kanuni,1.0
340,Igembe Central,Akirang'Ondu,1.0
341,Igembe Central,Athiru Ruujine,1.0
342,Igembe Central,Igembe East,1.0
343,Igembe Central,Njia,1.0
344,Igembe Central,Kangeta,1.0
345,Igembe North,Antuambui,1.0
346,Igembe North,Ntunene,1.0
347,Igembe North,Antubetwe Kiongo,1.0
348,Igembe North,Naathu,1.0
349,Igembe North,Amwathi,1.0
350,Tigania West,Athwana,1.0
351,Tigania West,Akithii,1.0
352,Tigania West,Kianjai,1.0
353,Tigania West,Nkomo,1.0
354,Tigania West,Mbeu,1.0
355,Tigania East,Thangatha,1.0
356,Tigania East,Mikinduri,1.0
357,Tigania East,Kiguchwa,1.0
358,Tigania East,Muthara,1.0
359,Tigania East,Karama,1.0
360,North Imenti,Municipality,1.0
361,North Imenti,Ntima East,1.0
362,North Imenti,Ntima West,1.0
363,North Imenti,Nyaki West,1.0
364,North Imenti,Nyaki East,1.0
365,Buuri,Timau,1.0
366,Buuri,Kisima,1.0
367,Buuri,Kiirua/Naari,1.0
368,Buuri,Ruiri/Rwarera,1.0
369,Buuri,Kibirichia,1.0
370,Central Imenti,Mwanganthia,1.0
371,Central Imenti,Abothuguchi Central,1.0
372,Central Imenti,Abothuguchi  West,1.0
373,Central Imenti,Kiagu,1.0
374,South Imenti,Mitunguu,1.0
