Constituency_Code,Constituency_Name,County_Name
228,Nambale,Busia
229,Matayos,Busia
230,Butula,Busia
231,Funyula,Busia
232,Budalangi,Busia
233,Ugenya,Siaya
234,Ugunja,Siaya
235,Alego Usonga,Siaya
236,Gem,Siaya
237,Bondo,Siaya
238,Rarieda,Siaya
239,Kisumu East,Kisumu
240,Kisumu West,Kisumu
241,Kisumu Central,Kisumu
242,Seme,Kisumu
243,Nyando,Kisumu
244,Muhoroni,Kisumu
245,Nyakach,Kisumu
246,Kasipul,Homa Bay
247,Kabondo Kasipul,Homa Bay
248,Karachuonyo,Homa Bay
249,Rangwe,Homa Bay
250,Homa Bay Town,Homa Bay
251,Ndhiwa,Homa Bay
252,Mbita,Homa Bay
253,Suba,Homa Bay
254,Rongo,Migori
255,Awendo,Migori
256,Suna East,Migori
257,Suna West,Migori
258,Uriri,Migori
259,Nyatike,Migori
260,Kuria West,Migori
261,Kuria East,Migori
262,Bonchari,Kisii
263,South Mugirango,Kisii
264,Bomachoge Borabu,Kisii
265,Bobasi,Kisii
266,Bomachoge Chache,Kisii
267,Nyaribari Masaba,Kisii
268,Nyaribari Chache,Kisii
269,Kitutu Chache North,Kisii
270,Kitutu Chache South,Kisii
271,Kitutu Masaba,Nyamira
272,West Mugirango,Nyamira
273,North Mugirango,Nyamira
274,Borabu,Nyamira
275,Westlands,Nairobi
276,Dagoretti North,Nairobi
277,Dagoretti South,Nairobi
278,Langata,Nairobi
279,Kibra,Nairobi
280,Roysambu,Nairobi
281,Kasarani,Nairobi
282,Ruaraka,Nairobi
283,Embakasi South,Nairobi
284,Embakasi North,Nairobi
285,Embakasi Central,Nairobi
286,Embakasi East,Nairobi
287,Embakasi West,Nairobi
288,Makadara,Nairobi
289,Kamukunji,Nairobi
290,Starehe,Nairobi
291,Mathare,Nairobi
