Ward_Code,Ward_Name,County_Name,Constituency_Code,Constituency_Name
146,Dertu,Garissa,30,Daadab
147,Dadaab,Garissa,30,Daadab
148,Labasigale,Garissa,30,Daadab
149,Damajale,Garissa,30,Daadab
150,Liboi,Garissa,30,Daadab
151,Abakaile,Garissa,30,Daadab
152,Bura,Garissa,31,Fafi
153,Dekaharia,Garissa,31,Fafi
154,Jarajila,Garissa,31,Fafi
155,Fafi,Garissa,31,Fafi
156,Nanighi,Garissa,31,Fafi
157,Hulugho,Garissa,32,Ijara
158,Sangailu,Garissa,32,Ijara
159,Ijara,Garissa,32,Ijara
160,Masalani,Garissa,32,Ijara
161,Gurar,Wajir,33,Wajir North
162,Bute,Wajir,33,Wajir North
163,Korondile,Wajir,33,Wajir North
164,Malkagufu,Wajir,33,Wajir North
165,Batalu,Wajir,33,Wajir North
166,Danaba,Wajir,33,Wajir North
167,Godoma,Wajir,33,Wajir North
168,Wagberi,Wajir,34,Wajir East
169,Township,Wajir,34,Wajir East
170,Barwago,Wajir,34,Wajir East
171,Khorof/Harar,Wajir,34,Wajir East
172,Elben,Wajir,35,Tarbaj
173,Sarman,Wajir,35,Tarbaj
174,Tarbaj,Wajir,35,Tarbaj
175,Wargadud,Wajir,35,Tarbaj
176,Arbajahan,Wajir,36,Wajir West
177,Hadado/Athibohol,Wajir,36,Wajir West
178,Ademasajide,Wajir,36,Wajir West
179,Ganyure/Wagalla,Wajir,36,Wajir West
180,Eldas,Wajir,37,Eldas
181,Della,Wajir,37,Eldas
182,Lakoley South/Basir,Wajir,37,Eldas
183,Elnur/Tula Tula,Wajir,37,Eldas
184,Benane,Wajir,38,Wajir South
185,Burder,Wajir,38,Wajir South
186,Dadaja Bulla,Wajir,38,Wajir South
187,Habasswein,Wajir,38,Wajir South
188,Lagboghol South,Wajir,38,Wajir South
189,Ibrahim Ure,Wajir,38,Wajir South
190,Diif,Wajir,38,Wajir South
191,Takaba South,Mandera,39,Mandera West
192,Takaba,Mandera,39,Mandera West
193,Lagsure,Mandera,39,Mandera West
194,Dandu,Mandera,39,Mandera West
195,Gither,Mandera,39,Mandera West
196,Banissa,Mandera,40,Banissa
197,Derkhale,Mandera,40,Banissa
198,Guba,Mandera,40,Banissa
199,Malkamari,Mandera,40,Banissa
200,Kiliwehiri,Mandera,40,Banissa
201,Ashabito,Mandera,41,Mandera North
202,Guticha,Mandera,41,Mandera North
203,Morothile,Mandera,41,Mandera North
204,Rhamu,Mandera,41,Mandera North
205,Rhamu Dimtu,Mandera,41,Mandera North
206,Wargudud,Mandera,42,Mandera South
207,Kutulo,Mandera,42,Mandera South
208,Elwak South,Mandera,42,Mandera South
209,Elwak North,Mandera,42,Mandera South
210,Shimbir Fatuma,Mandera,42,Mandera South
211,Arabia,Mandera,43,Mandera East
212,Bulla Mpya,Mandera,43,Mandera East
213,Khalalio,Mandera,43,Mandera East
214,Neboi,Mandera,43,Mandera East
215,Township,Mandera,43,Mandera East
216,Fino,Mandera,43,Mandera East
217,Libehia,Mandera,44,Lafey
218,Lafey,Mandera,44,Lafey
219,Warankara,Mandera,44,Lafey
220,Alango Gof,Mandera,44,Lafey
221,Butiye,Marsabit,45,Moyale
222,Sololo,Marsabit,45,Moyale
223,Heilu/Manyatta,Marsabit,45,Moyale
224,Golbo,Marsabit,45,Moyale
225,Moyale Township,Marsabit,45,Moyale
226,Uran,Marsabit,45,Moyale
227,Obbu,Marsabit,45,Moyale
228,Dukana,Marsabit,46,North Horr
229,Maikona,Marsabit,46,North Horr
230,Turbi,Marsabit,46,North Horr
231,North Horr,Marsabit,46,North Horr
232,Illeret,Marsabit,46,North Horr
233,Sagante/Jaldesa,Marsabit,47,Saku
234,Karare,Marsabit,47,Saku
235,Marsabit Central,Marsabit,47,Saku
236,Loiyangalani,Marsabit,48,Laisamis
237,Kargi/South Horr,Marsabit,48,Laisamis
238,Korr/Ngurunit,Marsabit,48,Laisamis
239,Logologo,Marsabit,48,Laisamis
240,Laisamis,Marsabit,48,Laisamis
241,Wabera,Isiolo,49,Isiolo North
242,Bulla Pesa,Isiolo,49,Isiolo North
243,Chari,Isiolo,49,Isiolo North
244,Cherab,Isiolo,49,Isiolo North
245,673,Isiolo,49,Isiolo North
246,Burat,Isiolo,49,Isiolo North
247,Oldonyiro,Isiolo,49,Isiolo North
248,Garba Tulla,Isiolo,50,Isiolo South
249,Kinna,Isiolo,50,Isiolo South
250,Sericho,Isiolo,50,Isiolo South
251,Maua,Meru,51,Igembe South
252,Kiegoi/Antubochiu,Meru,51,Igembe South
253,Athiru Gaiti,Meru,51,Igembe South
254,Akachiu,Meru,51,Igembe South
255,Kanuni,Meru,51,Igembe South
256,Akirang'Ondu,Meru,52,Igembe Central
257,Athiru Ruujine,Meru,52,Igembe Central
258,Igembe East,Meru,52,Igembe Central
259,Njia,Meru,52,Igembe Central
260,Kangeta,Meru,52,Igembe Central
261,Antuambui,Meru,53,Igembe North
262,Ntunene,Meru,53,Igembe North
263,Antubetwe Kiongo,Meru,53,Igembe North
264,Naathu,Meru,53,Igembe North
265,Amwathi,Meru,53,Igembe North
266,Athwana,Meru,54,Tigania West
267,Akithii,Meru,54,Tigania West
268,Kianjai,Meru,54,Tigania West
269,Nkomo,Meru,54,Tigania West
270,Mbeu,Meru,54,Tigania West
271,Thangatha,Meru,55,Tigania East
272,Mikinduri,Meru,55,Tigania East
273,Kiguchwa,Meru,55,Tigania East
274,Muthara,Meru,55,Tigania East
275,Karama,Meru,55,Tigania East
276,Municipality,Meru,56,North Imenti
277,Ntima East,Meru,56,North Imenti
278,Ntima West,Meru,56,North Imenti
279,Nyaki West,Meru,56,North Imenti
280,Nyaki East,Meru,56,North Imenti
281,Timau,Meru,57,Buuri
282,Kisima,Meru,57,Buuri
283,Kiirua/Naari,Meru,57,Buuri
284,Ruiri/Rwarera,Meru,57,Buuri
285,Kibirichia,Meru,57,Buuri
286,Mwanganthia,Meru,58,Central Imenti
287,Abothuguchi Central,Meru,58,Central Imenti
288,Abothuguchi  West,Meru,58,Central Imenti
289,Kiagu,Meru,58,Central Imenti
290,Mitunguu,Meru,59,South Imenti
291,Igoji East,Meru,59,South Imenti
292,Igoji West,Meru,59,South Imenti
293,Abogeta East,Meru,59,South Imenti
294,Abogeta West,Meru,59,South Imenti
295,Nkuene,Meru,59,South Imenti
296,Mitheru,Tharaka-Nithi,60,Maara
297,Muthambi,Tharaka-Nithi,60,Maara
298,Mwimbi,Tharaka-Nithi,60,Maara
299,Ganga,Tharaka-Nithi,60,Maara
300,Chogoria,Tharaka-Nithi,60,Maara
301,Mariani,Tharaka-Nithi,61,Chuka/Igambang'Ombe
302,Karingani,Tharaka-Nithi,61,Chuka/Igambang'Ombe
303,Magumoni,Tharaka-Nithi,61,Chuka/Igambang'Ombe
304,Mugwe,Tharaka-Nithi,61,Chuka/Igambang'Ombe
305,Igambang'Ombe,Tharaka-Nithi,61,Chuka/Igambang'Ombe
306,Gatunga,Tharaka-Nithi,62,Tharaka
307,Mukothima,Tharaka-Nithi,62,Tharaka
308,Nkondi,Tharaka-Nithi,62,Tharaka
309,Chiakariga,Tharaka-Nithi,62,Tharaka
310,Marimanti,Tharaka-Nithi,62,Tharaka
311,Ruguru/Ngandori,Embu,63,Manyatta
312,Kithimu,Embu,63,Manyatta
313,Nginda,Embu,63,Manyatta
314,Mbeti North,Embu,63,Manyatta
315,Kirimari,Embu,63,Manyatta
316,Gaturi South,Embu,63,Manyatta
317,Gaturi North,Embu,63,Manyatta
318,Kagaari South,Embu,64,Runyenjes
319,Central  Ward,Embu,64,Runyenjes
320,Kagaari North,Embu,64,Runyenjes
321,Kyeni North,Embu,64,Runyenjes
322,Kyeni South,Embu,64,Runyenjes
323,Mwea,Embu,65,Mbeere South
324,Makima,Embu,65,Mbeere South
325,Mbeti South,Embu,65,Mbeere South
326,Mavuria,Embu,65,Mbeere South
327,Kiambere,Embu,65,Mbeere South
328,Nthawa,Embu,66,Mbeere North
329,Muminji,Embu,66,Mbeere North
330,Evurore,Embu,66,Mbeere North
331,Ngomeni,Kitui,67,Mwingi North
332,Kyuso,Kitui,67,Mwingi North
333,Mumoni,Kitui,67,Mwingi North
334,Tseikuru,Kitui,67,Mwingi North
335,Tharaka,Kitui,67,Mwingi North
336,Kyome/Thaana,Kitui,68,Mwingi West
337,Nguutani,Kitui,68,Mwingi West
338,Migwani,Kitui,68,Mwingi West
339,Kiomo/Kyethani,Kitui,69,Mwingi Central
340,Central,Kitui,69,Mwingi Central
341,Kivou,Kitui,69,Mwingi Central
342,Nguni,Kitui,69,Mwingi Central
343,Nuu,Kitui,69,Mwingi Central
344,Mui,Kitui,69,Mwingi Central
345,Waita,Kitui,69,Mwingi Central
346,Mutonguni,Kitui,70,Kitui West
347,Kauwi,Kitui,70,Kitui West
348,Matinyani,Kitui,70,Kitui West
349,Kwa Mutonga/Kithumula,Kitui,70,Kitui West
350,Kisasi,Kitui,71,Kitui Rural
351,Mbitini,Kitui,71,Kitui Rural
352,Kwavonza/Yatta,Kitui,71,Kitui Rural
353,Kanyangi,Kitui,71,Kitui Rural
354,Mulango,Kitui,71,Kitui Rural
355,Miambani,Kitui,72,Kitui Central
356,Township,Kitui,72,Kitui Central
357,Kyangwithya West,Kitui,72,Kitui Central
358,Kyangwithya East,Kitui,72,Kitui Central
359,Zombe/Mwitika,Kitui,73,Kitui East
360,Nzambani,Kitui,73,Kitui East
361,Chuluni,Kitui,73,Kitui East
362,Voo/Kyamatu,Kitui,73,Kitui East
363,Endau/Malalani,Kitui,73,Kitui East
364,Mutito/Kaliku,Kitui,73,Kitui East
365,Ikanga/Kyatune,Kitui,74,Kitui South
366,Mutomo,Kitui,74,Kitui South
367,Mutha,Kitui,74,Kitui South
368,Ikutha,Kitui,74,Kitui South
369,Kanziko,Kitui,74,Kitui South
370,Athi,Kitui,74,Kitui South
371,Kivaa,Machakos,75,Masinga
372,Masinga Central,Machakos,75,Masinga
373,Ekalakala,Machakos,75,Masinga
374,Muthesya,Machakos,75,Masinga
375,Ndithini,Machakos,75,Masinga
376,Ndalani,Machakos,76,Yatta
377,Matuu,Machakos,76,Yatta
378,Kithimani,Machakos,76,Yatta
379,Ikombe,Machakos,76,Yatta
380,Katangi,Machakos,76,Yatta
381,Kangundo North,Machakos,77,Kangundo
382,Kangundo Central,Machakos,77,Kangundo
383,Kangundo East,Machakos,77,Kangundo
384,Kangundo West,Machakos,77,Kangundo
385,Tala,Machakos,78,Matungulu
386,Matungulu North,Machakos,78,Matungulu
387,Matungulu East,Machakos,78,Matungulu
388,Matungulu West,Machakos,78,Matungulu
389,Kyeleni,Machakos,78,Matungulu
390,Mitaboni,Machakos,79,Kathiani
391,Kathiani Central,Machakos,79,Kathiani
392,Upper Kaewa/Iveti,Machakos,79,Kathiani
393,Lower Kaewa/Kaani,Machakos,79,Kathiani
394,Athi River,Machakos,80,Mavoko
395,Kinanie,Machakos,80,Mavoko
396,Muthwani,Machakos,80,Mavoko
397,Syokimau/Mulolongo,Machakos,80,Mavoko
398,Kalama,Machakos,81,Machakos Town
399,Mua,Machakos,81,Machakos Town
400,Mutituni,Machakos,81,Machakos Town
401,Machakos Central,Machakos,81,Machakos Town
402,Mumbuni North,Machakos,81,Machakos Town
403,Muvuti/Kiima-Kimwe,Machakos,81,Machakos Town
404,Kola,Machakos,81,Machakos Town
405,Mbiuni,Machakos,82,Mwala
406,Makutano/Mwala,Machakos,82,Mwala
407,Masii,Machakos,82,Mwala
408,Muthetheni,Machakos,82,Mwala
409,Wamunyu,Machakos,82,Mwala
410,Kibauni,Machakos,82,Mwala
411,Tulimani,Makueni,83,Mbooni
412,Mbooni,Makueni,83,Mbooni
413,Kithungo/Kitundu,Makueni,83,Mbooni
414,Kisau-Kiteta,Makueni,83,Mbooni
415,Waia/Kako,Makueni,83,Mbooni
416,Kalawa,Makueni,83,Mbooni
417,Kasikeu,Makueni,84,Kilome
418,Mukaa,Makueni,84,Kilome
419,Kiima Kiu/Kalanzoni,Makueni,84,Kilome
420,Ukia,Makueni,85,Kaiti
421,Kee,Makueni,85,Kaiti
