,Suminsured_Band,LowerLimit,UpperLimit,Relativity,Rate
167,0,83500001,84000000,1,0.0325
168,0,84000001,84500000,1,0.0325
169,0,84500001,85000000,1,0.0325
170,0,85000001,85500000,1,0.0325
171,0,85500001,86000000,1,0.0325
172,0,86000001,86500000,1,0.0325
173,0,86500001,87000000,1,0.0325
174,0,87000001,87500000,1,0.0325
175,0,87500001,88000000,1,0.0325
176,0,88000001,88500000,1,0.0325
177,0,88500001,89000000,1,0.0325
178,0,89000001,89500000,1,0.0325
179,0,89500001,90000000,1,0.0325
180,0,90000001,90500000,1,0.0325
181,0,90500001,91000000,1,0.0325
182,0,91000001,91500000,1,0.0325
183,0,91500001,92000000,1,0.0325
184,0,92000001,92500000,1,0.0325
185,0,92500001,93000000,1,0.0325
186,0,93000001,93500000,1,0.0325
187,0,93500001,94000000,1,0.0325
188,0,94000001,94500000,1,0.0325
189,0,94500001,95000000,1,0.0325
190,0,95000001,95500000,1,0.0325
191,0,95500001,96000000,1,0.0325
192,0,96000001,96500000,1,0.0325
193,0,96500001,97000000,1,0.0325
194,0,97000001,97500000,1,0.0325
195,0,97500001,98000000,1,0.0325
196,0,98000001,98500000,1,0.0325
197,0,98500001,99000000,1,0.0325
198,0,99000001,99500000,1,0.0325
199,0,99500001,100000000,1,0.0325
200,0,100000001,100500000,1,0.0325
201,0,100500001,101000000,1,0.0325
202,0,101000001,101500000,1,0.0325
203,0,101500001,102000000,1,0.0325
204,0,102000001,102500000,1,0.0325
205,0,102500001,103000000,1,0.0325
206,0,103000001,103500000,1,0.0325
207,0,103500001,104000000,1,0.0325
208,0,104000001,104500000,1,0.0325
209,0,104500001,105000000,1,0.0325
210,0,105000001,105500000,1,0.0325
211,0,105500001,106000000,1,0.0325
212,0,106000001,106500000,1,0.0325
213,0,106500001,107000000,1,0.0325
214,0,107000001,107500000,1,0.0325
215,0,107500001,108000000,1,0.0325
216,0,108000001,108500000,1,0.0325
217,0,108500001,109000000,1,0.0325
218,0,109000001,109500000,1,0.0325
219,0,109500001,110000000,1,0.0325
220,0,110000001,110500000,1,0.0325
221,0,110500001,111000000,1,0.0325
222,0,111000001,111500000,1,0.0325
223,0,111500001,112000000,1,0.0325
224,0,112000001,112500000,1,0.0325
225,0,112500001,113000000,1,0.0325
226,0,113000001,113500000,1,0.0325
227,0,113500001,114000000,1,0.0325
228,0,114000001,114500000,1,0.0325
229,0,114500001,115000000,1,0.0325
230,0,115000001,115500000,1,0.0325
231,0,115500001,116000000,1,0.0325
232,0,116000001,116500000,1,0.0325
233,0,116500001,117000000,1,0.0325
234,0,117000001,117500000,1,0.0325
235,0,117500001,118000000,1,0.0325
236,0,118000001,118500000,1,0.0325
237,0,118500001,119000000,1,0.0325
238,0,119000001,119500000,1,0.0325
239,0,119500001,120000000,1,0.0325
240,0,120000001,120500000,1,0.0325
241,0,120500001,121000000,1,0.0325
242,0,121000001,121500000,1,0.0325
243,0,121500001,122000000,1,0.0325
244,0,122000001,122500000,1,0.0325
245,0,122500001,123000000,1,0.0325
246,0,123000001,123500000,1,0.0325
247,0,123500001,124000000,1,0.0325
248,0,124000001,124500000,1,0.0325
249,0,124500001,125000000,1,0.0325
250,0,125000001,125500000,1,0.0325
251,0,125500001,126000000,1,0.0325
252,0,126000001,126500000,1,0.0325
253,0,126500001,127000000,1,0.0325
254,0,127000001,127500000,1,0.0325
255,0,127500001,128000000,1,0.0325
256,0,128000001,128500000,1,0.0325
257,0,128500001,129000000,1,0.0325
258,0,129000001,129500000,1,0.0325
259,0,129500001,130000000,1,0.0325
260,0,130000001,130500000,1,0.0325
261,0,130500001,131000000,1,0.0325
262,0,131000001,131500000,1,0.0325
263,0,131500001,132000000,1,0.0325
264,0,132000001,132500000,1,0.0325
265,0,132500001,133000000,1,0.0325
266,0,133000001,133500000,1,0.0325
267,0,133500001,134000000,1,0.0325
268,0,134000001,134500000,1,0.0325
269,0,134500001,135000000,1,0.0325
270,0,135000001,135500000,1,0.0325
271,0,135500001,136000000,1,0.0325
272,0,136000001,136500000,1,0.0325
273,0,136500001,137000000,1,0.0325
274,0,137000001,137500000,1,0.0325
275,0,137500001,138000000,1,0.0325
276,0,138000001,138500000,1,0.0325
277,0,138500001,139000000,1,0.0325
278,0,139000001,139500000,1,0.0325
279,0,139500001,140000000,1,0.0325
280,0,140000001,140500000,1,0.0325
281,0,140500001,141000000,1,0.0325
282,0,141000001,141500000,1,0.0325
283,0,141500001,142000000,1,0.0325
284,0,142000001,142500000,1,0.0325
285,0,142500001,143000000,1,0.0325
286,0,143000001,143500000,1,0.0325
287,0,143500001,144000000,1,0.0325
288,0,144000001,144500000,1,0.0325
289,0,144500001,145000000,1,0.0325
290,0,145000001,145500000,1,0.0325
291,0,145500001,146000000,1,0.0325
292,0,146000001,146500000,1,0.0325
